Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
82,CA-2023-100082,2024-11-29,2024-12-02,First Class,IM-10130,Brittany Love,Consumer,United States,Taylorshire,95520,East,FUR-BI-100096,Office Supplies,Binders,Moran-Rodriguez Binders,694.19,2,0.03,122.24
83,CA-2023-100083,2025-02-17,2025-02-24,Same Day,SD-10481,Terry Baker,Corporate,United States,Jamesfurt,45229,Central,OFF-CH-100085,Furniture,Bookcases,Dean-Valentine Bookcases,420.08,2,0.17,41.64
84,CA-2023-100084,2025-02-04,2025-02-10,First Class,SD-10698,Ariana Taylor,Consumer,United States,West Juliefort,42396,South,FUR-CO-100019,Office Supplies,Storage,Walters PLC Storage,69.17,1,0.08,11.96
85,CA-2023-100085,2024-07-31,2024-08-05,First Class,SD-10203,Janet Grimes,Corporate,United States,Thomasland,65726,Central,OFF-EN-100031,Technology,Copiers,Booth LLC Copiers,486.19,4,0.07,30.89
86,CA-2023-100086,2024-12-07,2024-12-11,Same Day,AS-10443,Sarah Jefferson,Consumer,United States,Brownton,03775,West,TEC-EN-100058,Furniture,Tables,"Guerrero, Moore and Jones Tables",277.5,1,0.28,57.42
87,CA-2023-100087,2024-08-05,2024-08-06,First Class,SD-10765,Trevor Harris,Corporate,United States,West Kevinland,33097,Central,OFF-FU-100055,Office Supplies,Storage,Duran-Small Storage,253.96,2,0.09,26.31
88,CA-2023-100088,2025-01-25,2025-01-31,Standard Class,AS-10945,Cory Peters,Consumer,United States,Port Devinmouth,54319,West,OFF-EN-100029,Furniture,Tables,"Crawford, Cox and Jordan Tables",798.18,4,0.37,136.47
89,CA-2023-100089,2024-03-14,2024-03-16,First Class,AS-10970,Caroline Allison,Consumer,United States,South Raymond,79718,Central,OFF-BI-100095,Office Supplies,Labels,"Jimenez, Spencer and Smith Labels",100.03,1,0.16,21.58
90,CA-2023-100090,2024-10-30,2024-11-01,Second Class,IM-10719,Sabrina Smith,Corporate,United States,South Vanessaside,08709,Central,FUR-CO-100027,Technology,Accessories,Jensen-Brown Accessories,527.15,3,0.47,21.97
91,CA-2023-100091,2024-04-01,2024-04-04,Second Class,KT-10527,Ashley James,Corporate,United States,Port Darren,69986,West,TEC-AP-100065,Furniture,Chairs,Estes LLC Chairs,288.06,5,0.24,11.72
92,CA-2023-100092,2024-04-11,2024-04-17,Second Class,SO-10880,Jay Montes,Home Office,United States,Smithville,54924,East,FUR-TA-100079,Office Supplies,Paper,George-Mclaughlin Paper,57.94,5,0.05,13.0
93,CA-2023-100093,2024-03-17,2024-03-23,Same Day,KT-10471,Lori Moon,Home Office,United States,Lake Davidshire,31556,Central,FUR-AP-100051,Technology,Phones,"Cochran, Gordon and Kelley Phones",714.94,4,0.13,86.34
94,CA-2023-100094,2024-10-04,2024-10-06,Second Class,BW-10359,Sarah Stewart,Home Office,United States,Craigfurt,57555,East,OFF-PH-100062,Office Supplies,Binders,"Miller, Walsh and Moore Binders",553.03,4,0.29,65.96
95,CA-2023-100095,2024-12-05,2024-12-06,Same Day,IM-10134,Casey Jackson,Corporate,United States,North Christopherview,61659,West,OFF-PA-100037,Office Supplies,Paper,"Evans, Willis and Briggs Paper",19.41,2,0.2,0.94
96,CA-2023-100096,2024-06-12,2024-06-17,Same Day,DV-10544,Gina Daniels,Consumer,United States,Steventown,73884,Central,TEC-EN-100095,Furniture,Chairs,Bennett-Fleming Chairs,679.52,4,0.36,64.38
97,CA-2023-100097,2024-06-06,2024-06-11,Same Day,BW-10499,Monica Burton,Consumer,United States,Lake Shellyton,19725,Central,OFF-EN-100051,Furniture,Bookcases,Walker-Zuniga Bookcases,266.04,1,0.34,42.92
98,CA-2023-100098,2024-02-29,2024-03-05,Second Class,HP-10185,Jennifer Evans,Consumer,United States,North Shelly,72907,South,FUR-ST-100095,Furniture,Bookcases,"Adams, Johnson and Scott Bookcases",299.53,5,0.45,31.25
99,CA-2023-100099,2025-02-13,2025-02-17,First Class,SD-10482,Tasha Harrison,Corporate,United States,New Ronaldburgh,48125,South,FUR-PA-100026,Technology,Phones,"Rivera, Vasquez and Cox Phones",917.0,5,0.26,47.57
100,CA-2023-100100,2024-10-19,2024-10-23,First Class,HP-10113,Mary Evans,Home Office,United States,Jasonmouth,21139,Central,FUR-ST-100070,Office Supplies,Storage,"Mitchell, Sanchez and Hall Storage",150.12,2,0.01,21.59
101,CA-2023-100101,2024-04-12,2024-04-19,Second Class,CG-10163,Brian Cook,Home Office,United States,Jasonstad,25665,South,OFF-CO-100044,Furniture,Bookcases,Pierce Group Bookcases,314.24,2,0.02,61.65
102,CA-2023-100102,2025-02-12,2025-02-19,Same Day,KT-10572,Amy Brown,Consumer,United States,New Markside,88147,West,FUR-CO-100020,Technology,Copiers,"Roberts, Christensen and Hardy Copiers",495.76,5,0.26,60.96
103,CA-2023-100103,2024-09-26,2024-09-27,Second Class,SO-10439,Kerry Gardner,Consumer,United States,Simonmouth,81208,West,FUR-CH-100093,Technology,Phones,"Cortez, Davis and Lam Phones",844.09,1,0.38,31.66
104,CA-2023-100104,2024-11-04,2024-11-11,Second Class,KT-10373,Barbara Johnson,Corporate,United States,Jensenfurt,94958,South,OFF-BI-100076,Technology,Machines,Patrick Inc Machines,360.02,1,0.07,36.23
105,CA-2023-100105,2024-08-29,2024-08-30,First Class,DV-10005,Scott Perry,Home Office,United States,Davisberg,59161,West,OFF-PA-100021,Furniture,Chairs,Bruce-Powers Chairs,211.06,1,0.27,42.78
106,CA-2023-100106,2024-06-17,2024-06-23,Same Day,HP-10552,Courtney Elliott,Home Office,United States,Nicholasfurt,03784,Central,FUR-PH-100016,Office Supplies,Paper,"Ruiz, Ford and Huffman Paper",86.24,4,0.44,11.31
107,CA-2023-100107,2024-04-01,2024-04-07,First Class,CG-10540,Allen Gonzalez,Corporate,United States,Martinmouth,78754,South,TEC-CO-100099,Office Supplies,Paper,Noble-Davis Paper,136.74,3,0.0,26.08
108,CA-2023-100108,2024-09-23,2024-09-24,Same Day,IM-10058,Patrick Marshall,Consumer,United States,West Joshua,24603,West,OFF-FU-100051,Furniture,Furnishings,Benson-Romero Furnishings,322.73,5,0.24,36.19
109,CA-2023-100109,2024-07-08,2024-07-15,Standard Class,CG-10792,Ashley Walters,Corporate,United States,Martinberg,78446,South,TEC-FU-100045,Technology,Copiers,Kaufman-Davis Copiers,987.26,2,0.37,178.82
110,CA-2023-100110,2024-08-22,2024-08-26,Standard Class,KT-10237,Ricky Hendrix,Consumer,United States,Jacksonberg,71106,East,FUR-CO-100014,Technology,Machines,Rogers Ltd Machines,820.23,1,0.13,195.53
111,CA-2023-100111,2024-05-09,2024-05-12,Standard Class,SO-10230,Charles Norris,Consumer,United States,West Michaelfurt,06485,West,OFF-CO-100065,Office Supplies,Labels,Cunningham-Taylor Labels,932.64,4,0.39,167.74
112,CA-2023-100112,2024-09-16,2024-09-21,Same Day,BW-10125,Mark Aguilar,Corporate,United States,Port Marc,84453,South,OFF-FU-100094,Office Supplies,Paper,"Evans, Dillon and Soto Paper",753.65,3,0.06,73.69
113,CA-2023-100113,2025-01-18,2025-01-21,Second Class,AS-10361,Mark Key,Home Office,United States,West Raymond,05831,West,OFF-TA-100041,Furniture,Furnishings,"Carter, Peterson and Knight Furnishings",573.64,4,0.42,18.41
114,CA-2023-100114,2024-11-02,2024-11-06,First Class,HP-10245,Claire Ochoa,Corporate,United States,Marialand,66764,West,OFF-PA-100047,Technology,Copiers,"Ramirez, Morgan and Clayton Copiers",634.65,2,0.48,72.99
115,CA-2023-100115,2024-06-16,2024-06-23,Standard Class,HP-10070,Spencer Crawford,Home Office,United States,Mariaport,97109,West,OFF-ST-100080,Technology,Copiers,West-Beck Copiers,801.83,5,0.34,122.53
116,CA-2023-100116,2024-12-15,2024-12-19,Same Day,IM-10316,Justin Lewis,Consumer,United States,Christianbury,13860,South,TEC-CH-100059,Furniture,Tables,Powell Group Tables,653.6,2,0.13,160.06
117,CA-2023-100117,2024-04-13,2024-04-20,First Class,BW-10325,Anthony Hayes,Corporate,United States,South Waynefort,76927,West,FUR-TA-100051,Technology,Accessories,Price PLC Accessories,988.25,1,0.25,182.17
118,CA-2023-100118,2024-07-19,2024-07-22,First Class,SO-10899,David Small,Corporate,United States,East Paulborough,10133,West,OFF-CO-100091,Technology,Machines,Barnes LLC Machines,267.29,4,0.45,36.24
119,CA-2023-100119,2024-07-02,2024-07-05,Same Day,SD-10625,John Riley,Corporate,United States,East Mark,67162,Central,FUR-EN-100050,Furniture,Bookcases,Patterson-Porter Bookcases,853.84,1,0.35,81.55
120,CA-2023-100120,2024-05-10,2024-05-13,Standard Class,HP-10049,Amanda Sellers,Consumer,United States,Williamsview,20102,Central,TEC-EN-100027,Technology,Machines,Osborne-Smith Machines,610.47,2,0.25,119.4
121,CA-2023-100121,2024-03-29,2024-04-02,Second Class,BW-10953,Mrs. Kimberly Caldwell,Home Office,United States,Scottstad,00645,Central,OFF-TA-100048,Office Supplies,Storage,Sanders-Jones Storage,912.4,4,0.03,124.85
122,CA-2023-100122,2024-10-17,2024-10-22,Same Day,DV-10033,Bethany White DDS,Corporate,United States,West Margaret,24766,South,FUR-FU-100072,Technology,Phones,Miller-Cummings Phones,973.89,4,0.1,133.83
123,CA-2023-100123,2024-03-08,2024-03-12,First Class,IM-10200,Jessica Ho,Consumer,United States,Stephenchester,34304,South,OFF-AP-100079,Furniture,Bookcases,Greene and Sons Bookcases,248.58,3,0.43,30.04
